response_id,created_at,created_at_formatted,email,first_name,last_name,nickname,graduation_class,hometown,majors,scheduling,learning_objectives,work_experience,interests,learning_objective_business,learning_objective_info_systems,learning_objective_career,learning_objective_requirement,learning_objective_personal,work_experience_public,work_experience_business,work_experience_social_media,work_experience_other,interest_adventure,interest_arts,interest_business,interest_public,interest_stem,personal_computer,operating_system,operating_system_usage_windows,operating_system_usage_mac,operating_system_usage_ios,operating_system_usage_android,software_usage_word,software_usage_docs,software_usage_excel,software_usage_sheets,software_usage_powerpoint,software_usage_slides,software_usage_viso,software_usage_lucidchart,software_usage_access,tools_usage_email,tools_usage_blackboard,tools_usage_gchat,tools_usage_slack,tech_usage_csv,tech_usage_json,tech_usage_sql,tech_usage_xml,tech_usage_html,tech_usage_css,tech_usage_javascript,tech_usage_java,tech_usage_php,tech_usage_ruby,tech_usage_python,tech_usage_c_plus_plus,tech_usage_visual_basic,tech_usage_c_sharp,tech_usage_c,tech_usage_objective_c,tech_usage_perl,tech_usage_r,tech_usage_dot_net,tools_usage_hipchat,tools_usage_irc,tools_usage_aws,tools_usage_github,tools_usage_bitbucket,website_experience,meetup_comfort
11,8/30/2015 21:29:25,2015-08-30 21:29:25,#redacted,#redacted,#redacted,#redacted,Alumni,"Branford, CT","Information Systems, Classical Studies",,#redacted,#redacted,#redacted,0,1,1,0,0,1,1,0,0,0,0,0,1,1,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with comfort,Used a few times but with discomfort,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with comfort,Used a few times but with discomfort,Can use with comfort,Heard of but never used,Heard of but never used,Can use with ease,Used a few times but with discomfort,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Can use with ease,Used a few times but with discomfort,Can use with comfort,Can use with ease,Can use with comfort,Yes,
12,8/31/2015 11:22:49,2015-08-31 11:22:49,#redacted,#redacted,#redacted,#redacted,Sophomore,Huntington Woods,Accounting,Class immediately before,#redacted,#redacted,#redacted,1,0,1,0,0,0,0,0,0,1,0,0,1,0,Yes,Mac OS,Can use with comfort,Can use with comfort,Can use with comfort,Heard of but never used,Can use with ease,Can use with comfort,Can use with comfort,Can use with comfort,Can use with ease,Can use with comfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Used a few times but with discomfort,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds stressful. I'm scared.
13,8/31/2015 11:19:33,2015-08-31 11:19:33,#redacted,#redacted,#redacted,#redacted,Senior,"Lancaster, PA",International Affairs (BA minor),,#redacted,#redacted,#redacted,0,0,1,1,1,1,0,0,0,0,0,0,1,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Heard of but never used,Can use with ease,Can use with ease,Can use with comfort,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Can use with ease,Never heard of,Used a few times but with discomfort,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
14,8/31/2015 11:16:34,2015-08-31 11:16:34,#redacted,#redacted,#redacted,#redacted,Sophomore,"Glen Ridge, NJ",International Business,,#redacted,#redacted,#redacted,0,0,1,0,0,0,0,0,1,1,1,1,1,0,Yes,Mac OS,Used a few times but with discomfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Heard of but never used,Never heard of,Never heard of,Can use with comfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
15,8/31/2015 11:08:13,2015-08-31 11:08:13,#redacted,#redacted,#redacted,#redacted,Sophomore,"South Windsor, CT","Finance, International Business",Class immediately after,#redacted,#redacted,#redacted,0,1,1,0,0,0,1,0,0,1,0,1,0,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Heard of but never used,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
16,8/31/2015 11:08:07,2015-08-31 11:08:07,#redacted,#redacted,#redacted,,Sophomore,"Mattituck, NY","Business Economics and Public Policy, International Business",Class immediately before,#redacted,#redacted,#redacted,0,0,1,0,0,0,1,0,0,1,0,1,1,0,Yes,Mac OS,Can use with ease,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with ease,Can use with ease,Heard of but never used,Heard of but never used,Heard of but never used,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
17,8/31/2015 11:09:09,2015-08-31 11:09:09,#redacted,#redacted,#redacted,,Junior,Jersey City,Finance,Class immediately after,#redacted,#redacted,#redacted,1,0,1,0,1,0,1,0,0,1,1,1,0,0,Yes,Mac OS,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Used a few times but with discomfort,Heard of but never used,Never heard of,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Yes,Sounds fun. Can't wait.
18,8/31/2015 11:09:37,2015-08-31 11:09:37,#redacted,#redacted,#redacted,,Junior,"Cheshire, Conn.","Sport, Event, and Hospitality Management",,#redacted,#redacted,#redacted,0,0,0,1,0,0,0,0,1,1,1,1,0,0,Yes,Mac OS,Can use with ease,Can use with ease,Can use with ease,Can use with comfort,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with ease,Can use with ease,Never heard of,Never heard of,Heard of but never used,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Sounds fine.
19,8/31/2015 11:12:19,2015-08-31 11:12:19,#redacted,#redacted,#redacted,,Junior,"Boston, MA",Political Communication,Class immediately before,#redacted,#redacted,#redacted,0,0,1,1,0,1,,0,,1,1,0,0,0,Yes,Mac OS,Can use with comfort,Can use with comfort,Can use with comfort,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with comfort,Heard of but never used,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Used a few times but with discomfort,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Sounds fun. Can't wait.
20,8/31/2015 11:13:11,2015-08-31 11:13:11,#redacted,#redacted,#redacted,,Sophomore,"Bryn Mawr, PA",Finance,,#redacted,#redacted,#redacted,1,1,0,1,0,0,0,0,0,1,1,1,0,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with comfort,Can use with comfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with comfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Can use with comfort,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
21,8/31/2015 11:13:17,2015-08-31 11:13:17,#redacted,#redacted,#redacted,,Sophomore,"Mahwah, NJ","Accounting, International Business",,#redacted,#redacted,#redacted,0,1,1,0,1,0,1,0,0,0,1,1,0,0,Yes,Mac OS,Can use with ease,Can use with ease,Can use with ease,Can use with comfort,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Heard of but never used,Can use with ease,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Used a few times but with discomfort,Heard of but never used,Never heard of,Can use with comfort,Never heard of,Never heard of,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Yes,Sounds fun. Can't wait.
22,8/31/2015 11:14:50,2015-08-31 11:14:50,#redacted,#redacted,#redacted,,Sophomore,St. Louis,Marketing,,#redacted,#redacted,#redacted,0,1,0,1,0,0,1,1,1,1,0,0,1,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Used a few times but with discomfort,Can use with comfort,Can use with comfort,Never heard of,Never heard of,Heard of but never used,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Can use with comfort,Never heard of,Used a few times but with discomfort,Used a few times but with discomfort,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
23,8/31/2015 11:16:04,2015-08-31 11:16:04,#redacted,#redacted,#redacted,,Sophomore,"Waldorf, MD",Business Economics and Public Policy,Class immediately before,#redacted,#redacted,#redacted,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Yes,Mac OS,Used a few times but with discomfort,Can use with comfort,Can use with comfort,Heard of but never used,Can use with comfort,Used a few times but with discomfort,Used a few times but with discomfort,Never heard of,Can use with comfort,Heard of but never used,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
24,8/31/2015 11:16:05,2015-08-31 11:16:05,#redacted,#redacted,#redacted,,Sophomore,"Huntingdon Valley, PA",Marketing,,#redacted,#redacted,#redacted,1,1,0,0,0,0,1,1,1,0,1,1,0,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with comfort,Used a few times but with discomfort,Can use with comfort,Can use with ease,Can use with comfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Can use with comfort,Never heard of,Used a few times but with discomfort,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
25,8/31/2015 11:16:25,2015-08-31 11:16:25,#redacted,#redacted,#redacted,,Junior,Damascus,Marketing,Class immediately before,#redacted,#redacted,#redacted,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with comfort,Heard of but never used,Can use with comfort,Can use with comfort,Used a few times but with discomfort,Can use with comfort,Can use with comfort,Can use with comfort,Heard of but never used,Never heard of,Heard of but never used,Can use with ease,Can use with ease,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Heard of but never used,Heard of but never used,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fine.
26,8/31/2015 11:17:58,2015-08-31 11:17:58,#redacted,#redacted,#redacted,,Senior,"Scarsdale, NY",Major in Computer Science with a minor in Business,Class immediately after,#redacted,#redacted,#redacted,0,0,0,1,0,0,1,0,0,1,0,1,0,0,Yes,Mac OS,Can use with comfort,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with comfort,Can use with comfort,Can use with comfort,Can use with comfort,Can use with comfort,Can use with comfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with comfort,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Used a few times but with discomfort,Heard of but never used,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Can use with ease,Used a few times but with discomfort,Heard of but never used,Used a few times but with discomfort,Can use with comfort,Heard of but never used,Heard of but never used,Can use with ease,Can use with ease,Heard of but never used,Heard of but never used,Heard of but never used,Never heard of,Can use with comfort,Never heard of,Heard of but never used,Never heard of,Yes,Sounds fun. Can't wait.
27,8/31/2015 11:20:52,2015-08-31 11:20:52,#redacted,#redacted,#redacted,,Senior,"Miami, Florida",International Affairs,Class immediately before,#redacted,#redacted,#redacted,1,0,1,0,0,0,1,0,0,1,0,1,0,0,Yes,Mac OS,Can use with ease,Can use with ease,Can use with ease,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with comfort,Can use with comfort,Can use with ease,Can use with comfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Can use with ease,Can use with ease,Can use with ease,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Can use with comfort,Heard of but never used,Used a few times but with discomfort,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Heard of but never used,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Yes,Sounds fun. Can't wait.
28,8/31/2015 11:21:18,2015-08-31 11:21:18,#redacted,#redacted,#redacted,,Sophomore,Kinnelon,Finance,,#redacted,#redacted,#redacted,0,0,1,0,1,0,1,0,0,1,0,1,0,0,Yes,Mac OS,Used a few times but with discomfort,Can use with comfort,Can use with comfort,Used a few times but with discomfort,Can use with ease,Can use with comfort,Can use with comfort,Can use with comfort,Can use with ease,Used a few times but with discomfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Used a few times but with discomfort,Never heard of,Used a few times but with discomfort,Used a few times but with discomfort,Used a few times but with discomfort,Never heard of,Never heard of,Used a few times but with discomfort,Heard of but never used,Never heard of,Used a few times but with discomfort,Heard of but never used,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,No,Sounds fun. Can't wait.
29,8/31/2015 11:22:25,2015-08-31 11:22:25,#redacted,#redacted,#redacted,,Senior,Dubai,"International Business, Marketing",Class immediately after,#redacted,#redacted,#redacted,0,1,1,0,0,0,1,0,0,1,0,1,0,0,Yes,Mac OS,Can use with ease,Can use with ease,Heard of but never used,Never heard of,Can use with ease,Can use with ease,Can use with ease,Can use with comfort,Can use with ease,Can use with comfort,Never heard of,Never heard of,Never heard of,Can use with ease,Can use with ease,Can use with comfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Can use with comfort,Never heard of,Can use with comfort,Can use with comfort,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Never heard of,Yes,Sounds fun. Can't wait.
